locality;month;day;year;sites;observer;zone;exposure;ID_transect;area_uvc;depth_m;genus_species;abund;size_cm
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1441;40;8;prionurus_laticlavius;1;25
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1441;40;8;prionurus_laticlavius;1;30
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1441;40;8;melichthys_niger;5;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1441;40;8;melichthys_niger;1;25
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1441;40;8;sufflamen_verres;1;25
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1441;40;8;cantherhines_dumerilii;1;25
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1441;40;8;zanclus_cornutus;2;15
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1441;40;8;zanclus_cornutus;1;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1441;40;8;aulostomus_chinensis;1;45
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1441;40;8;arothron_meleagris;4;15
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1441;40;8;arothron_meleagris;3;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1441;40;8;canthigaster_punctatissima;2;5
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1441;40;8;canthigaster_punctatissima;4;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1443;40;8;myripristis_berndti;2;15
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1443;40;8;myripristis_berndti;3;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1443;40;8;myripristis_berndti;3;25
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1443;40;8;sargocentron_suborbitalis;4;15
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1443;40;8;epinephelus_labriformis;6;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1443;40;8;epinephelus_labriformis;1;35
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1443;40;8;paranthias_colonus;16;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1443;40;8;paranthias_colonus;5;25
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1443;40;8;cirrhitichthys_oxycephalus;2;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1443;40;8;lutjanus_novemfasciatus;1;35
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1443;40;8;lutjanus_viridis;4;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1443;40;8;lutjanus_viridis;1;25
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1443;40;8;kyphosus_vaigiensis;1;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1443;40;8;kyphosus_vaigiensis;1;25
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1443;40;8;holacanthus_passer;2;15
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1443;40;8;stegastes_arcifrons;122;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1443;40;8;bodianus_diplotaenia;4;5
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1443;40;8;bodianus_diplotaenia;4;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1443;40;8;bodianus_diplotaenia;6;15
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1443;40;8;thalassoma_lucasanum;396;5
