locality;month;day;year;sites;observer;zone;exposure;ID_transect;area_uvc;depth;genus_species;abund;size_cm
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_3;40;7.5;stegastes_acapulcoensis;15;7.5
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_3;40;7.5;abudefduf_troschelii;5;7.5
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_3;40;7.5;canthigaster_punctatissima;2;7.5
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_3;40;7.5;abudefduf_troschelii;10;12.5
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_3;40;7.5;thalassoma_lucasanum;2;12.5
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_3;40;7.5;scarus_ghobban;3;12.5
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_3;40;7.5;sufflamen_verres;1;12.5
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_3;40;7.5;kiphosus_sp.;7;17.5
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_3;40;7.5;scarus_ghobban;1;17.5
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_3;40;7.5;sargocentron_suborbitalis;1;17.5
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_3;40;7.5;haemulon_maculicauda;18;25
bahia_culebra;23;7;2014;guiri guiri;n_sandoval;;;bahia_culebra_guiri guiri_2014_n_sandoval_3;40;7.5;acanthurus_xanthopterus;3;25
